Name,Total_Count,Dominant_Gender,Origin_Region
Nora,128476,F,Anglo
Katelyn,127970,F,Anglo
Patsy,126958,F,Anglo
Jennie,126902,F,Anglo
Garrett,126640,M,Anglo
Glen,126198,M,Anglo
Claudia,125935,F,Anglo
Clayton,125856,M,Anglo
Alejandro,125644,M,Latin
Jorge,125142,M,Latin
Faith,124839,F,Anglo
Sam,123666,M,Anglo
Lily,123314,F,Anglo
Erika,123080,F,Anglo
Violet,122984,F,Anglo
Nina,122956,F,Anglo
Cole,122581,M,Anglo
Cora,122036,F,Anglo
Ivan,121673,M,Anglo
Carter,121609,M,Anglo
Mackenzie,121482,F,Anglo
Chester,121217,M,Anglo
Tonya,120664,F,Anglo
Jeff,119948,M,Anglo
Andre,119723,M,Anglo
Wyatt,118665,M,Anglo
Harvey,118556,M,Anglo
Colin,118459,M,Anglo
Delores,118023,F,Anglo
Marissa,117916,F,Anglo
Xavier,117238,M,Anglo
Priscilla,117153,F,Anglo
Milton,116925,M,Anglo
Jake,116849,M,Anglo
Tanya,116515,F,Anglo
Aubrey,116026,F,Anglo
Grant,115667,M,Anglo
Gwendolyn,115665,F,Anglo
Duane,115518,M,Anglo
Oliver,115502,M,Anglo
Levi,115376,M,Anglo
Jaime,115177,M,Anglo
Spencer,114996,M,Anglo
Sebastian,114470,M,Anglo
Cecil,113421,M,Anglo
Kaylee,112844,F,Anglo
Yolanda,112572,F,Anglo
Isabel,112530,F,Latin
Angelina,112228,F,Anglo
Maxine,111404,F,Anglo
Carole,110864,F,Anglo
Maggie,110740,F,Anglo
Caitlin,110696,F,Anglo
Vickie,110342,F,Anglo
Dakota,110053,M,Anglo
Reginald,109836,M,Anglo
Addison,109778,F,Anglo
Hayden,109618,M,Anglo
Ruben,109408,M,Latin
Sadie,109287,F,Anglo
Mae,109276,F,Anglo
Glenda,109243,F,Anglo
Bailey,109152,F,Anglo
Alison,109130,F,Anglo
Autumn,108747,F,Anglo
Alexa,108259,F,Anglo
Brandy,108119,F,Anglo
Miranda,107269,F,Anglo
Leona,107124,F,Anglo
Bryce,106575,M,Anglo
Bobbie,106364,F,Anglo
Margie,106188,F,Anglo
Dan,106053,M,Anglo
Roberto,105974,M,Latin
Genevieve,105722,F,Anglo
Dora,105496,F,Anglo
Sidney,105185,M,Anglo
Zoe,105172,F,Anglo
Preston,104987,M,Anglo
Miriam,104901,F,Anglo
Aidan,104685,M,Irish_Italian
Marsha,104242,F,Anglo
Tristan,104156,M,Anglo
Arnold,103197,M,Anglo
Peyton,102604,F,Anglo
Sophie,102436,F,Anglo
Lance,102285,M,Anglo
Kay,101927,F,Anglo
Brandi,101600,F,Anglo
Mariah,101591,F,Anglo
Neil,101253,M,Anglo
Darren,100628,M,Anglo
Gabriella,100362,F,Anglo
Karl,100306,M,Anglo
Toni,100280,F,Anglo
Whitney,100249,F,Anglo
Lonnie,100204,M,Anglo
Katrina,100086,F,Anglo
Christy,99879,F,Anglo
Colton,99410,M,Anglo
Joanna,99402,F,Anglo
Sofia,99233,F,Latin
Eduardo,98947,M,Latin
Hector,98618,M,Latin
Jocelyn,98072,F,Anglo
Kerry,97869,M,Anglo
Hattie,97702,F,Anglo
Brayden,97445,M,Anglo
Kylie,97330,F,Anglo
Kara,97093,F,Anglo
Penny,96744,F,Anglo
Clinton,96481,M,Anglo
Ana,96419,F,Latin
Parker,96308,M,Anglo
Roland,95944,M,Anglo
Makayla,95249,F,Anglo
Dianne,95230,F,Anglo
Bethany,95216,F,Anglo
Tracey,94915,F,Anglo
Eli,94839,M,Anglo
Diego,94427,M,Latin
Natasha,94417,F,Anglo
Carson,94131,M,Anglo
Meghan,94055,F,Anglo
Sierra,93918,F,Anglo
Allan,93417,M,Anglo
Everett,93400,M,Anglo
Alexandria,93397,F,Anglo
Marguerite,93258,F,Anglo
Bob,93183,M,Anglo
Kendra,92392,F,Anglo
Fernando,92194,M,Latin
Darryl,92053,M,Anglo
Ada,91806,F,Anglo
Claude,91800,M,Anglo
Javier,91764,M,Latin
Felicia,90909,F,Anglo
Briana,90822,F,Anglo
Jenny,90551,F,Anglo
Omar,90401,M,African_MiddleEastern
Johnathan,89867,M,Anglo
Cecilia,89756,F,Anglo
Guy,89615,M,Anglo
Micah,89476,M,Anglo
Marshall,88487,M,Anglo
Devon,88435,M,Anglo
Guadalupe,88069,F,Latin
Harriet,87988,F,Anglo
Tanner,87972,M,Anglo
Melody,87969,F,Anglo
Bridget,87915,F,Irish_Italian
Angelica,87623,F,Latin
Blanche,87563,F,Anglo
Brendan,87501,M,Irish_Italian
Geneva,87334,F,Anglo
Velma,87029,F,Anglo
Karla,86841,F,Anglo
Jody,86687,F,Anglo
Becky,86576,F,Anglo
Andy,86338,M,Anglo
Shelly,86278,F,Anglo
Pedro,85918,M,Latin
Kendall,85753,F,Anglo
Kurt,85105,M,Anglo
Fannie,85079,F,Anglo
Susie,84927,F,Anglo
Misty,84487,F,Anglo
Lula,84353,F,Anglo
Candace,84341,F,Anglo
Hope,83993,F,Anglo
Jacquelyn,83898,F,Anglo
Kristine,83861,F,Anglo
Sherri,83711,F,Anglo
Adriana,83593,F,Latin
Brady,83391,M,Anglo
Lola,83122,F,Anglo
Tim,83035,M,Anglo
Ariana,82954,F,Anglo
Brad,82864,M,Anglo
Freddie,82586,M,Anglo
Raul,82568,M,Latin
Ben,82144,M,Anglo
Brittney,81803,F,Anglo
Rachael,81683,F,Anglo
Abraham,81459,M,Anglo
Rick,81386,M,Anglo
Wallace,81305,M,Anglo
Brooklyn,81153,F,Anglo
Desiree,81063,F,Anglo
Isabelle,80906,F,Anglo
Hugh,80807,M,Anglo
Hilda,80658,F,Anglo
Ross,80622,M,Anglo
Jaden,80261,M,Anglo
Eunice,80237,F,Anglo
Jodi,80120,F,Anglo
Maxwell,80087,M,Anglo
Breanna,80063,F,Anglo
Josiah,80030,M,Anglo
Nicolas,79588,M,Anglo
Jillian,79468,F,Anglo
Maya,79459,F,Anglo
Byron,78925,M,Anglo
Sheryl,78802,F,Anglo
Rosie,78775,F,Anglo
Sandy,78599,F,Anglo
Monique,78494,F,Anglo
Tyrone,78310,M,African_MiddleEastern
Antoinette,78073,F,Anglo
Drew,78071,M,Anglo
Dwight,78058,M,Anglo
Willard,78023,M,Anglo
Jade,78017,F,Anglo
Mamie,77946,F,Anglo
Dalton,77775,M,Anglo
Lynda,77774,F,Anglo
Greg,77597,M,Anglo
Nolan,77525,M,Anglo
Ariel,77402,F,Anglo
Andres,77290,M,Anglo
Perry,77062,M,Anglo
Ashton,77008,M,Anglo
Arianna,76483,F,Anglo
Kristi,76430,F,Anglo
Jan,76089,F,Anglo
Nelson,76010,M,Anglo
Kate,75856,F,Anglo
Meredith,75724,F,Anglo
Dwayne,75122,M,Anglo
Iris,75054,F,Anglo
Madelyn,74957,F,Anglo
Angelo,74918,M,Irish_Italian
Ted,74910,M,Anglo
Gabriela,74906,F,Latin
Kelli,74866,F,Anglo
Julius,74509,M,Anglo
Janie,74307,F,Anglo
Shelley,74197,F,Anglo
Ramon,74170,M,Latin
Rafael,74129,M,Latin
Krystal,73729,F,Anglo
Mathew,73487,M,Anglo
Irma,73314,F,Anglo
Beulah,73261,F,Anglo
Krista,73117,F,Anglo
Damian,73107,M,Anglo
Collin,72619,M,Anglo
Sergio,72463,M,Latin
Virgil,72375,M,Anglo
Frankie,72249,M,Anglo
Trinity,71947,F,Anglo
